,x,z,v,alpha,d22,T
840,0.2312030002640048,0.008674372985848266,2.385535129381963,2.279851772920727,2.537765137457504e-06,3.2751192246726157
841,0.23170900010145887,0.008690349952391877,2.3818744578676703,2.279851772920727,3.6888423712277884e-15,3.2824708691349516
842,0.23222206320892202,0.00872575554748248,2.378169724550353,2.2791665587916174,3.6903525594529116e-15,3.2826557726770877
843,0.23273576155387957,0.008761310035206618,2.3744701057934483,2.278483544576821,3.560627457590219e-15,3.2828400776070588
844,0.23325011803325282,0.008797080170392348,2.3707754143820967,2.277794108175379,2.51630055167382e-11,3.282999213874073
845,0.2337650755867915,0.00883288682164877,2.3670860703414034,2.275718577776961,4.1859575131343334e-13,3.2832004221691817
846,0.23426694614387755,0.00883384286114851,2.363503518715248,2.277814630771769,1.33556234398357e-06,3.2963042129802482
847,0.23479692195230123,0.008905031635950304,2.3597223877975755,2.275738039639948,3.6975623777661775e-15,3.283571071885522
848,0.23531380772697688,0.008941341346465008,2.35604804941714,2.275061442223863,3.1783138154750657e-15,3.2837523257091203
849,0.23583142265486756,0.008978074477984899,2.3523780401810943,2.2749809899443414,4.2742562458280416e-10,3.2838339103254515
850,0.2363553284980145,0.009031946596363692,2.3486708446685176,2.27305379379395,1.8701566910706316e-06,3.277792646054552
851,0.23686830615878476,0.009051192419521894,2.3450549497622224,2.27305379379395,1.0736709527018003e-15,3.284292448676999
852,0.23738833002771476,0.009089836997810912,2.341396227173731,2.2722438350823984,1.586724045022363e-08,3.283849051789148
853,0.23790784860188358,0.009125204072579662,2.337750944435527,2.271618299401229,3.6993034108429895e-15,3.2846488106384237
854,0.23842858469787442,0.009162444415472643,2.334106306825071,2.2709310738893214,3.69870052627986e-15,3.284826212663761
855,0.2389499652507983,0.00919984245988636,2.330466552934279,2.270243671894723,3.698507774219084e-15,3.2850029674628045
856,0.23947199104112277,0.009237398911002294,2.326831664049733,2.269556089794112,3.702777042478411e-15,3.285179090550849
857,0.2399946628299407,0.009275114410706798,2.323201621692853,2.2688683511450884,3.929772722042517e-15,3.2853546210132762
858,0.24051798161324536,0.009312990287683733,2.3195764057591832,2.2681804119534594,3.69601713860581e-15,3.285529355418518
859,0.24104194799227713,0.009351026685828375,2.3159559991275094,2.267492301408876,3.694749306648476e-15,3.2857035131180927
860,0.24156656285570907,0.009389224593889954,2.3123403826648445,2.2668040105843583,3.6934609593541545e-15,3.285877014386991
861,0.24209182702435184,0.00942758478877037,2.3087295378278836,2.2661155840427853,3.68960008972663e-15,3.286049856354916
862,0.2426177417488809,0.009466109313863123,2.3051234430567007,2.2654268382936213,1.1027591533228242e-14,3.28622159311104
863,0.24314430659007402,0.009504795178644098,2.3015220891058705,2.264738044846444,3.6889420199218775e-15,3.2863935469882395
864,0.24367152364803116,0.009543646931509735,2.297925448455706,2.264049021682101,3.686448213704681e-15,3.286564395787645
865,0.24419939334695645,0.009582664127086504,2.2943335057998286,2.263359812423852,3.6841233487394955e-15,3.286734571521246
866,0.24472791653219897,0.009621847563526832,2.290746242877479,2.262670415823776,3.681555306822635e-15,3.286904071281716
867,0.24525709405459864,0.00966119803666175,2.2871636414801264,2.261980830462664,3.678924899414281e-15,3.2870728944896728
868,0.24578692676682729,0.009700716347047094,2.283585683475997,2.261291055945988,3.675363786492841e-15,3.2872410403341976
869,0.24631741553481518,0.009740403317517628,2.2800123507305394,2.260601090135677,3.672256343925043e-15,3.2874085016801766
870,0.24684856122114812,0.009780259750552241,2.276443625223398,2.2599109331561475,3.669840599984581e-15,3.2875752802097837
871,0.24738036470555624,0.009820286490135631,2.272879488902815,2.2592205820344935,3.666148701076116e-15,3.2877413646705738
872,0.24791282685742375,0.009860484336011189,2.2693199238808197,2.258530036808841,3.662073932252432e-15,3.2879067604943515
